key,target,source
ftbquests.chapter.9astral_sorcery.quests.4.tasks.9.description.0,聚能水晶这玩意最好还是用天辉聚能水晶，用这玩意要给他摆个多方块结构，具体结构星芒宝典里有，摆了多方块结构就能在白天产星能了。聚能水晶是星辉的星能体系里最重要的。1.16没有这个不行,"To put it into relative terms, the amount of Starlight produced by Celestial Collectors with strong Crystals, let alone an Enhanced Collector, can allow a player to craft with an Iridescent Altar at noontime or in the middle of a thunderstorm. The amount of Starlight produced renders minor bonuses from elevation close to negligible, but if you still want to min-max, then feel free. As for the Enhanced Collector Structure, it allows a Collector Crystal to be somewhat performant throughout the night, even if its Constellation isn’t in the sky, or during the day. When it comes to Astral Sorcery’s Starlight network, it’s a spectrum of things that affect Starlight production, rather than an on/off switch. Night vs day, Rock Crystal vs Celestial, regular vs enhanced, poor stats vs. perfect stats, Constellation in the night sky, elevation level, Starlight concentration, etc."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.10.description.0,这些透镜主要用于他们的效果，而不是聚集星能到祭坛。,These should mainly be used for their effects rather than moving Starlight to your altar. Simply right-click a Coloured Lens on to a Lens you have previously placed down.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.10.description.1,您可以通过潜行+右键来拆除彩色透镜。每个彩色透镜具有不同的效果：,You can remove a Coloured Lens by sneak-right-clicking the Lens. Lenses are also used for crafting. Each Coloured Lense has a different effect:
ftbquests.chapter.9astral_sorcery.quests.4.tasks.10.description.2,&l破坏（黄色）&r - 破坏方块。破坏时间由方块硬度决定。,&lBreak (Yellow)&r - Breaks any block in front of the beam of light. Takes longer to break obsidian.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.10.description.3,&l生长（绿色）&r - 加速植物和作物生长。,&lGrowth (Green)&r - Will encourage plants and crops that are in front of the beam to grow.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.10.description.4,&l伤害（红色）&r - 会伤害怪物。这是魔法伤害，不会伤害玩家。,&lDamage (Red)&r - Will damage any mobs in front of the beam. This is Magical damage and will not hurt players.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.10.description.5,&l再生（粉色）&r - 会治疗怪物和玩家。不能与再生效果叠加。,&lRegeneration (Pink)&r - This will heal mobs and the player. It will not add a regeneration effect.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.10.description.6,&l抗拒（浅蓝色）&r - 推开物品和怪物。,&lPush (Light Blue)&r - Items and mobs will be pushed along by the beam.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.10.description.7,&l幽芒（紫色）&r- 允许星能穿过固体方块。,&lSpectral (Purple)&r- Allows you to project Starlight through walls.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.11.description.0,这要在它下方建造一个多方块结构。查看你的星芒宝典获取完整说明。一旦建成，你就可以把你新获得的共鸣水晶石扔进去。一定要照亮多方块结构，这样雪就不会堆积在方块上，取消仪式。,"This will require a structure built below it. Check your Tome for full instructions. Once built, you can throw in your newly acquired Attuned Rock Crystal. Be sure to illuminate the multiblock structure so that snow will not accumulate on the blocks and cancel the ritual."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.11.description.2,这个基座就像一个信标。根据共鸣水晶石的星座，每个效应区域都会有所不同。可以覆盖多达20个方块半径，并且效率取决于您使用的水晶石的大小和纯度（切割属性并不重要）。您可以通过潜行加右键将共鸣水晶石从基座上移除。,This Pedestal acts like a beacon. Each area of effect will be different depending on the attunement of the crystal. This beacon can have up to a 20 block radius and is dependant on the Size and Purity stats of the crystal you use (the Cutting attribute does not matter). You can remove the Attuned Crystal from the Pedestal by sneak-right-clicking it.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.12.description.0,这是可行的，但是有一种更好的工具来绘测剩下的星座。,"This works, but there is an easier method to discovering the rest."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.12.description.2,如果你能绘测更多的星座，那么你可以在你的星芒宝典中查找这些星座的相关信息。,If you are able to discover more Constellations then please do. Looking these Constellations up in your Tome will give you a bit more information on them.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.13.description.0,它使你能够制作更强大的物品。为了合成星辉祭坛，你将需要大量的星能和材料(看看你的星芒宝典)。当你在星辉合成台里摆好配方后，用你的共鸣星杖右键单击它，你的星辉合成台将会升级。这需要一些时间，所以一定要在夜晚（大概刚天黑有星星时）做。确保您有正确的材料(一定要注意大理石的类型)用来升级星辉合成台。,This will enable you to make more powerful items. To craft this you will need plenty of Starlight and a few materials (please check your Tome). When you have all of these in the Luminous Crafting Table right-click it with your Resonating Wand and your Luminous Crafting Table will upgrade itself. This can take a little while so make sure you do this in the middle of the night. Please ensure that you have the correct materials (pay close attention to the types of marble blocks) to upgrade the Luminous Crafting Table or you may find that you need to craft another Basic Crafting Table to craft Marble.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.13.description.2,当你的星辉祭坛升级完成时，你会发现它无法使用。这是因为它需要一个特殊的平台才能使用。如果你看下星辉宝典，它会告诉你如何建造这个平台，以及你需要什么材料(建议使用六分仪来检查结构是否建造完成)。 ,Once your Starlight Crafting Altar is done you will notice that it no longer works. This is because it needs a special platform in order to work. If you look in your Tome it will show you how to build this platform and what materials you need (use the Sextant to help with the layout).
ftbquests.chapter.9astral_sorcery.quests.4.tasks.13.description.4,你会发现你的星辉祭坛有一个更大更长的星能条。这个祭坛也需要露天放置，就像使用星辉合成台。这将使星辉祭坛的星能等级跟容易达到full。这会使合成等更加容易。你可以用光波增幅器包围祭坛来使祭坛更容易达到星能满级。,"You will notice that your Starlight Crafting Altar has a much bigger Starlight Meter. This altar also needs to have access to the sky, just like the Luminous Crafting Table did. It would be beneficial to get the Starlight Crafting Altar’s Starlight Level to full. This will make crafting and other activities easier. You can surround the altar with Spectral Relays to help boost the altar’s Starlight Level."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.14.description.0,现在你可以制作一个天文望远镜并将其放置在高处（远离建筑物和树木）。这可以让你更方便的测绘星座。,Craft a Telescope and place it down in a high place (away from buildings and trees). This will enable you to look at the stars and find other Constellations. The telescope will let you draw out these Constellation without needing to sneak and will let you scroll left and right without having to look around.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.15.description.0,这需要一个水晶石，但不需要看它的属性。然后要为星门建造一个多方块结构。具体可以在星芒宝典找到。,This requires a Rock Crystal but there is no need to worry about its attributes. You also need to build a structure for the Celestial Gateway to sit on. The design can be found in the Tome.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.15.description.2,一旦多方块结构完成并放置好星门，你的星门周围会出现特效。进入这个区域后，一个黑暗的圆顶就会出现在你周围。您可以在您的世界（和其他维度）中构建更多星门，它们会相互链接。,"Once the base is complete and the Celestial Gateway placed down, your Celestial Gateway should light up around the black blocks. Once you step inside this area a dark dome appears around you that stops at ground level. This is a teleportation pad. You can build more of these in your world (and other dimensions) and they will link to each other."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.15.description.4,当您建造了多个星门时，圆顶上将出现一颗金星，代表其他星门。这些星星出现在圆顶中，所以你不管在哪都能够找到它们。如果路上有任何东西（如一棵树）遮挡，您可能无法完全看到整个圆顶。,"When you have built more than one, a gold star will appear in the dome indicating the other gateway(s). These stars will be above ground level you so you will always be able to find them. If there is anything in the way (such as a tree) you will may not be able to see the whole dome."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.15.description.6,您可以在铁砧中重命名星门，这将创建一个名字显示在星星上，这样方便您区分不同的位置。如果你站在星门上，潜行右击一颗金星，你会被传送到那个金星代表的星门位置。这些也适用于地狱、末地和mods添加的其他维度。,"You can rename the gateway in an anvil which will create a small caption appearing on the star while looking at it, allowing you to differentiate between different locations.If you stand in the middle of the dome and sneak-right-click on a gold star, you will be teleported to that location. These also work in the Nether, End and other dimensions added by mods."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.16.description.0,这将允许您指定您能够获得的晶体或能量。让望远镜靠近天坛。你不仅要制作一个共鸣祭坛，还需要为这个共鸣祭坛建造一个多方块结构。这玩意可以在星芒宝典找到。,This will allow you to specify the Crystals or powers that you are able to attain. Keep your telescope close to the Celestial Altar. Not only will you need to make an Attunement Altar but you will also need to build another altar for this to sit on. This can be found in your Tome.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.16.description.2,当你看到共鸣祭坛周围的地面出现特效时，就证明共鸣祭坛可以使用了。还要一些星辉转继器，然后要选择一个对应星座来共鸣（星座属性可以在星芒宝典看到）。拿一张星图在手上。在共鸣祭坛周围地面上，你会看到一些蓝色粒子特效（只能在晚上看到）。,You will know the platform is right when you see lots of little sparkles on the ground around the Attunement Altar.You will also need a few Spectral Relays and you will need to pick a constellation to attune yourself to (these can be found by sneak-right-clicking your Tome).Take a Constellation Paper and put it in your off-hand. While in the Attunement Altar you will see little blue swirls on the ground that match the Constellation (you can only see this at night).
ftbquests.chapter.9astral_sorcery.quests.4.tasks.16.description.4,在有蓝色粒子特效的地方放下星辉转继器。成功后，星辉转继器会连接出对应星座图形。,"Put down Spectral Relays where the swirls appear. Once successful, the lines will connect and look like the Constellation. You can put more Relays down for other Constellations but remove at least ONE Relay from the previous Constellation (only one complete Constellation can be active at once). This will save you time in the future because you will just need to put one Relay down for a Constellation rather then all of them."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.16.description.6,为了共鸣星座，你需要绘测对应星座，而且它在共鸣当晚必须出现在天空中。这过程有可能要几天时间，也要靠运气。如果你选择的星座没有出现，那就不能共鸣。你任何时候都可以通过改变星辉转继器的摆放来改变你想要共鸣到的星座。,For this to work you will have needed to discover the Constellation in the sky and it must also be in the sky on that night. This process could take a few days and relies on a little luck sometimes. If your chosen Constellation is not in the sky then this process will not work. You can always change what Constellation you want to attune to by changing the Relays.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.16.description.8,一旦你需要共鸣的星座出现天空中，进入共鸣祭坛。共鸣完成后，就会解锁“星能力”。,"Once your Constellation is in the sky, step into the Attunement Altar and wait. Once the process has completed, you will have unlocked “perks”."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.17.description.0,有些比较暗淡的星座，只有通过观星台才能发现，因为它们离我们很远。当把观星台放下后，你可以右击进入观星台。进去后，你可以看到夜空。移动鼠标来移动视角。寻找和绘制星座就像使用望远镜一样。 ,"These are Faint Constellations and can only be found with the Observatory because they are further away. When placed down, you will be able to get into the Observatory by right-clicking the seat. Once inside you will be able to see the night sky. Moving your mouse around will scan the night sky.Searching and drawing out the constellations works just like the looking glass."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.17.description.2,这些新的星座是紫色的，当被你发现后，就可以在夜空中看到。,The new constellations are purple and can be seen in the night sky once found.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.17.description.4,你也可以用观星台去寻找其他你还没有找到的星座。,You can also use the Observatory to find any other Constellations that you have not found.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.18.description.0,制作天辉祭坛需要很多星能和材料。祭坛本身也需要有一个物理升级（指改造平台），就像之前的升级星辉祭坛一样，你将材料放入星辉祭坛中，用共鸣星杖右键单击它，然后等待奇迹的出现。 ,"This requires a lot of Starlight and a few materials. The Celestial Altar also needs to have a physical upgrade, but this can be done once the altar block itself has been upgraded. Just like the previous upgrade, you place the materials into the Starlight Crafting Altar, right-click it with your Resonating Wand and wait for the magic."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.18.description.2,在构建新的结构时，确保你查看了星芒宝典，并旋转图像，查看方块应该放在哪里(或使用六分仪)。 ,"When building the new structure, make sure you check the Tome and rotate the image to see exactly where blocks should be placed (or use the Sextant)."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.18.description.4,当祭坛的正确建造完成后，你会注意到有更多的合成格用于合成。 ,Once the Celestial Altar has been built and upgraded you will notice there are even more spaces in the crafting grid.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.19.description.0,当把这个台子放下后，用一块聚能玻璃（注星玻璃）右键它(记住，这种玻璃是有耐久的)。打开映射台后，UI会改变。映射台还需要羊皮纸。映射台内部可以容纳一组羊皮纸(右击放入)。（作者的死亡语序）（所以增加下百科的注释：先将聚能玻璃与羊皮纸右键放入映射台，然后打开GUI，将发现过的星座拖入中央的羊皮纸，拖入3个星座并尽量使较多的星上下重叠。此操作可能失败，失败只消耗羊皮纸，聚能玻璃会保留；成功后聚能玻璃变成蚀刻玻璃。）,"Once the Table is placed down, right-click it with a single piece of Infused Glass (bear in mind that this glass has a durability). Once in the Table the UI will change. The Table also requires Parchment. It can hold about a stack of Parchment (right-click with it to insert)."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.19.description.2,当玻璃变成蚀刻玻璃时，你就可以放入待附魔物品（须具有附魔能力）或水瓶。得到附魔物品（具体魔咒与物品种类和蚀刻玻璃属性有关）与药水星之酿（Stardew），前者若是盔甲、武器或工具，则会附带一定的属性增益。此操作会消耗蚀刻玻璃的耐久。,"The basic idea behind this is that once you have inserted your glass and Parchment, you can then add up to three Constellations to the Parchment. Then you can etch the Constellations you selected to the glass. Once the glass has been etched you can take the Parchment away and insert items, potions or books. Over time these will become enchanted. This is heavily dependant on what Constellations you have found and what Constellations are currently in the sky. This table also does not work if the moon is too low to the horizon (early evening or early morning)."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.19.description.4,Here is a step-by-step:   （往下翻,Here is a step-by-step:
ftbquests.chapter.9astral_sorcery.quests.4.tasks.20.description.0,建造这个多方块结构，比以前所建造的祭坛更复杂，因为它需要大量的星能液体。 （12桶）,This requires a structure to be built and is a bit more complicated than previous altars because it requires Liquid Starlight.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.21.description.0,这个祭坛需要在它周围建一个新的建筑。这只需要在祭坛顶部放置少量的方块。建成后，它将为你的祭坛添加一些新的功能。当水晶出现在你的祭坛上方时，你就会知道五彩祭坛已经完成了。 （若玩家在升级到五彩祭坛的过程中，中间的祭坛方块没有被移动过，那么搭建五彩祭坛结构时就可以在原有的天辉祭坛结构的基础上从第五层继续搭建，只需另外消耗 28 个大理石砖用于建造。玩家正确建造五彩祭坛结构后，祭坛结构最高层中间会出现一个有光芒特效的天体水晶模型，这是纯粹的视觉效果，任何实体都可以自由穿梭，而且不会发光。）,This altar will need a new structure around it. This only takes a few blocks around the top of the altar. Once built it will add a few new features around your altar. You will know this is done when a crystal appears above your altar.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.22.description.2,这是一种流体容器，比聚星缸容量更大，体积为 1 格高，能储存 64000 mB 流体。,"Right-click your altar to begin the crafting process. As the process goes on, you will notice the relays will have a “Ghost” image of the item that it requires. Right-click the item into the relay."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.22.description.7,如果附近放置了存有不同流体的杯子，当两种流体能发生反应时，杯子周围会生成对应的掉落物。比如水和熔岩会生成圆石、水和星能液会生成冰、熔岩和星能液会生成沙子或海蓝宝石砂岩。,"These Chalices do not have an inventory so the Ice will drop on the ground until they disappear or get picked up. Another great thing is that the ice created does not use up a whole bucket of each liquid, so 24 buckets should net you a few stacks of ice."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.22.description.9,如果杯子附近有聚星缸，则缸内的流体会被抽取道杯中。杯子会自动为它下方的万象泉补充星能液，并且从周围的万象泉抽取流体。杯子会增加它附近的星能聚合器的工作速率，并自动补充星能聚合器消耗的星能液（而且这样比手动补充更节省星能液）。,"You can also put 2 Chalices filled with water and Lava next to each other and have the same effect but instead of ice it will form cobblestone, smooth stone or obsidian at random."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.23.description.0,一对仪式锚可以让你移动仪式基座的效果区域。,"A pair of Ritual Anchors will enable you to move the area of effect of your Pedestal’s ritual. An example would be if you wanted to have Aevitas above your home, far away from your Pedestal."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.23.description.2,首先，把你想要效果的星座对应水晶石放进仪式基座。然后在仪式基座上方五个方块位置放置一个仪式锚。把第二个仪式锚放置在很远的地方，绑定两个仪式锚，仪式效果会在第二个位置起作用。,"First you must place your desired Attuned Rock Crystal into the Pedestal. Then you need to place a Ritual Anchor five blocks above the Pedestal. When the second anchor is placed in a remote location, bind both of the Anchors and you will notice that the ritual effect works in the second location."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.23.description.4,在绑定时将连接器拿在手中（不要换成其他物品）。可以用于任何数量的不同星座。,Ensure that you keep the Linking Tool in your hand while binding these (don’t change to another item). This can be used with any number of the different Constellations.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.24.description.0,长按右键使用，会清除你的星能力。这会清除你所有的星能力等级。这些等级将需要一些时间来重新提升，所以确保你100%确定想要清除星能力。,This can be used just like a bow (it will draw back and then break) and will clear your Attunement. This will undo all your progress with that attunement. Some of these attunements will take some time to progress through so make sure you are 100% sure you want to clear your attunement.
ftbquests.chapter.9astral_sorcery.quests.4.tasks.25.description.0,如果你星能力选择了错误的星座，或者你选择了你不想要的星能力，那么你可以重置这些，重置后会让你保留星能力点数，并让你再次使用它们。,"Now if you have selected the wrong “Root” (constellation) or you have selected perks you don't want then you can reset these, resetting these will still keep any perk points you have earnt and let you spend them again."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.25.description.2,你有五种灿芒之星可以选择，使用其中任何一颗都可以使你保持对应共鸣，并移除其他。,"There are 5 stars you can use, using any of these stars will KEEP the attunement you want and remove the others."
ftbquests.chapter.9astral_sorcery.quests.4.tasks.26.description.0,这个小玩意将增加你主手或副手中佩戴或装备物品的对应附魔等级。璀璨棱镜将添加最多3个不同的（随机）附魔。这也适用于由其他MOD添加的附魔。,This Bauble will add levels to random enchants on the items you are wearing or have equipped in your main or off hand. The Prism will add up to 3 different (random) enchant levels. This can also apply to enchants added by other mods. It is also very important to know that levels are added to EXISTING enchants.
ftbquests.chapter.9blood_magic.title,&9血魔法,&9Blood Magic
ftbquests.chapter.9blood_magic.quests.0.subtitle,*完成任务&b&l&o活石&r以解锁*,*Unlocked by completing the &b&l&oLivingrock&r quest*
ftbquests.chapter.9blood_magic.quests.0.description.0,它增加了一个以血液获取的生命源质为基础的魔法系统，包括仪式，献祭，召唤，炼金术和法术创造。在血魔法中，玩家通过献祭自己的生命值或生物的生命值来收集生命精华（通过用献祭匕首剌手指或者献祭刀砍人来获得生命源质），从而推动自己血魔法造诣，最终成为真正的血魔法师。,"It adds an expansive life-based magic system which spans rituals, sacrifices, summoning, alchemy and spell creation. In Blood Magic, the player collects Life Essence by sacrificing their own health or the health of mobs to power their Blood Magic creations on their quest to become an Archmage."
ftbquests.chapter.9blood_magic.quests.0.description.2,&4&l我该怎样开始？,&4&lWhat do I need to get started?
ftbquests.chapter.9blood_magic.quests.0.description.3,好吧，只要你有一些红石、铁、金、青金石和一些钻石，你就可以开始你的第一次。但深入钻研mod的花费就相当……贵了。 ,"Well, you can really get your first start as soon as you have some Redstone, Iron, Gold, Lapis Lazuli, and a couple of Diamonds. But delving deeper into the mod can get quite... expensive."
ftbquests.chapter.9blood_magic.quests.0.tasks.0.title,&4&l血  魔  法,&4&lWelcome to Blood Magic
ftbquests.chapter.9blood_magic.quests.1.title,一级血之祭坛,Blood Altar Tier: I
ftbquests.chapter.9blood_magic.quests.1.description.0,血之祭坛会将自身容量上限的10%LP吸收到它内部一个不可见的流体槽中，这一流体槽可从祭坛提取出LP或是向祭坛提供LP。,"The Blood Altar has an internal storage buffer of 1,000 LP that must be filled before crafting can occur. The altar can be expanded into a multiblock structure in order to access more powerful tiers of transmutation. Currently there are six tiers of Blood Altars, although only 5 of them can be made in survival mode since there is no way (by default) to craft the Crystal Clusters needed for the last tier. Some packs allow Crystal Clusters to be crafted using custom recipes with a config option enabling the recipes."
ftbquests.chapter.9blood_magic.quests.2.description.0,最简单的一层熏香祭坛只需要将熏香祭坛摆放在任意地点，即可以在熏香祭坛约五格范围内获得一个静谧效果。初始的静谧效果会让你物品栏中的牺牲匕首发生一些显而易见的变化，同时变更你使用这个匕首献血的机制（这个变化只维持一次，你可以靠近祭坛来重新获得效果）。获得静谧效果的牺牲匕首在使用时会直接抽取使用者当前生命值的90%，并提供一定的加成后注入到附近的鲜血祭坛中（多出的能量会浪费）。一层的熏香祭坛可以提供20%的能量加成，而想要提升这个数值，你需要使用不同材质的路面扩大祭坛的规模，并且在规定的区域内放置一些能够提供静谧值的方块或是液体（也包括作物）。各种材质的路面都有两种纹理，如何搭配并不影响祭坛效果。但是你需要保持四个方向的规模是一致的才能发挥出想要的效果。虽然熏香祭坛分成5层，但事实上，你每向外扩大一格，都会有一定的效果提升。同样的，每一圈路面可以在内圈路面的上下五格之内放置（血染知书中这么说到），但是同一圈路面需要保持水平。,The Sacrificial Knife transforms into the Sacrificial Dagger when the player is within 6 blocks from the Incense Altar. The Dagger cannot be used unless it is within 2 blocks of a Blood Altar. It drains 90% of current health and applies bonus LP depending on the bonus given by the Incense Altar; use a Divination Sigil on the Incense Altar to see its Current Tranquility and Current Bonus.
ftbquests.chapter.9blood_magic.quests.2.description.2,静谧方块：静谧方块就是能够提供静谧值的方块（液体和植物），而足够的静谧值可以提高熏香祭坛对能量转化的加成值，这个值对应每一层都有其上限。,"For the Altar's tiers described below, intercardinal directions are used for tranquility blocks and each tier requires extra area. The path blocks can be placed within a vertical difference of 1 block from the previous level, but all cardinal directions require the same pattern. Tranquility spaces can be placed at most two blocks higher than their respective path blocks. "
ftbquests.chapter.9blood_magic.quests.3.subtitle,牺牲匕首为血之祭坛产生LP的两种方式之一 ,The Sacrificial Knife is one of two ways to generate LP in the Blood Altar
ftbquests.chapter.9blood_magic.quests.3.description.2,创造模式下，在血之祭坛旁shift右键牺牲匕首可以把血之祭坛填满。,"By right clicking the Sacrificial Knife next to a Blood Altar, the user will lose a full heart and place 200 LP into the altar. This amount can be further increased by placing Runes of Self-sacrifice around the altar."
ftbquests.chapter.9blood_magic.quests.4.description.0,通过手持其右击投掷射中除自身外的目标有1/4概率使他们获得BUFF（此BUFF显示的粒子效果为白色），然后杀死他们你将获得他们的‘恶魔意志’（获得的‘恶魔意志’均为随机）.,"Right-click to throw it at a mob. If the Snare connects, it is bewitched for a few seconds (displayed by white particles). Killing the mob under this condition causes the mob to drop Demonic Will."
ftbquests.chapter.9blood_magic.quests.5.subtitle,有志者事竟成。,"Where there's a Will, there's a way​"
ftbquests.chapter.9blood_magic.quests.5.description.0,最普通的恶魔意志当玩家使用灵魂投网扔向怪物后，击杀怪物可以获得。,"The Demonic Will is an item, which can be gathered with the Rudimentary Snare or Sentient Sword from monsters. Every monster can only drop one demonic will with a randomly generated amount of willpower, which is displayed in the inventory. The Demonic Will is required for some recipes in the Hellfire Forge. The player can also store the willpower into the gems for an easier transport, because the Demonic Will are not stackable and can not be recharged."
ftbquests.chapter.9blood_magic.quests.6.subtitle,空白石板是一种制作材料，主要用于符文创造,Blank Slates are a crafting ingredient that are primarily used in rune and sigil creation
ftbquests.chapter.9blood_magic.quests.6.description.0,用于制作狱火熔炉、空白符文、速度符文、炼金术桌、原始燃料单元、原始水化单元。,Blank slates are used in the creation of Sigils.
ftbquests.chapter.9blood_magic.quests.7.title,二级血之祭坛,Blood Altar Tier: II
ftbquests.chapter.9blood_magic.quests.8.title,三级血之祭坛,Blood Altar Tier: III
ftbquests.chapter.9blood_magic.quests.9.title,四级血之祭坛,Blood Altar Tier: IV
ftbquests.chapter.9blood_magic.quests.10.subtitle,用于参与部分合成或是存储LP至玩家的灵魂网络中。,The Weak Blood Orb is a Life Essence (LP) storage method within Blood Magic
ftbquests.chapter.9blood_magic.quests.10.description.0,参与合成的时候不会消耗气血宝珠，比配方需求更高级别的气血宝珠均可参与合成。,"The Weak Blood Orb converts the Life Essence contained within an altar into a stored form of energy for items such as the Lava Crystal and the various rituals. This stored Essence cannot be turned back into a physical liquid, and will be stored to the owner's network. This tier of orb is capable of storing up to 5,000 LP. This number can only be raised by using higher tier orbs, or by placing the Rune of the Orb around the Blood Altar."
ftbquests.chapter.9blood_magic.quests.10.description.2,右键气血宝珠会与气血宝珠绑定，然后通过损失3点生命值给灵魂网络存储200LP。,"To use the Weak Blood Orb, it must first be bound to the owner. To do so, right click while holding the orb. Once bound, it will raise the owner's network storage to a total of 5,000 LP. It will also allow the user to right click while holding it, consuming a full heart and adding 200 LP to the owner's network. If the player is a Vampire, their blood will be drained rather than their health."
ftbquests.chapter.9blood_magic.quests.12.subtitle,这是血魔法第二级的气血宝珠,The Apprentice Blood Orb is the second level of blood orbs within Blood Magic
ftbquests.chapter.9blood_magic.quests.12.description.0,"它能存在25,000LP","This tier of blood orb allows the owner to store up to 25,000 LP in their network."
ftbquests.chapter.9blood_magic.quests.13.subtitle,这是血魔法第三级的气血宝珠,The Magician's Blood Orb is the third level of blood orbs within Blood Magic
ftbquests.chapter.9blood_magic.quests.13.description.0,"它能存储150,000LP","This tier of blood orb allows the owner to store up to 150,000 LP in their network."
ftbquests.chapter.9blood_magic.quests.14.subtitle,这是血魔法第四级的气血宝珠,The Master Blood Orb is the fourth level of blood orbs within Blood Magic
ftbquests.chapter.9blood_magic.quests.14.description.0,"它能存储1,000,000LP。","This tier of blood orb allows the owner to store up to 1,000,000 LP in their network."
ftbquests.chapter.9blood_magic.quests.16.subtitle,用于创造炼金矩阵，最大可用20次。,"The Arcane Ashes is used to create the Alchemy Array, which is needed for the new way to create the sigils"
ftbquests.chapter.9blood_magic.quests.16.description.0,通过炼金矩阵合成其他物品或是执行仪式。,"The Arcane Ashes are crafted in the Hellfire Forge with one Redstone, Bone Meal, Gunpowder and Coal. To perform the process, a Demonic Will or one of the gems are needed."
ftbquests.chapter.9blood_magic.quests.19.subtitle,在血之祭坛的3*3范围内攻击生物可以秒杀他们，并提供一定的lp。,The Dagger of Sacrifice is a weapon used to sacrifice creatures for Life Essence
ftbquests.chapter.9blood_magic.quests.19.description.0,献祭量：敌对（中立）生物<被动生物<村民,"The amount varies per creature, and can be further increased through the use of Runes of Sacrifice."
ftbquests.chapter.9blood_magic.quests.19.description.2,以下是没有被献祭符文增幅的献祭刀所给予的lp量。,"The Dagger of Sacrifice must be used within about three blocks of the Blood Altar. When used on a valid target, the target will instantly be killed and its Life Essence will be drained into the altar. Creatures that are considered children cannot be sacrificed. The amount of essence varies per creature:"
ftbquests.chapter.9blood_magic.quests.19.description.3,敌对（中立）生物每次献祭的量约为其生命值（不是最大生命值）的22.5~27.5倍之间。（玩家召唤的铁傀儡属于这一类）,"- Animals (Cows, sheep, etc.) = 250 LP"
ftbquests.chapter.9blood_magic.quests.19.description.4,被动生物每次献祭的量约为其生命值的65~100倍左右。（狐狸不算被动生物）,"- Hostile Mobs (Creepers, Zombies, etc.) = 500 LP"
ftbquests.chapter.9blood_magic.quests.19.description.5,村民每次献祭的量固定为1900lp。（流浪商人不算，算在敌对那一栏）,"- Villagers = 2,000 LP"
ftbquests.chapter.9blood_magic.quests.20.description.0,通过使用地狱魂石中的恶魔意志对物品进行合成,"The Hellfire Forge is a device, which requires Demonic Will or a Tartaric Gem in the right slot that has enough default will to meet the required minimum will. All recipes are shapeless, and ingredients can be in any slot."
ftbquests.chapter.9blood_magic.quests.20.description.2,每个合成配方都有预设的最少意志和消耗意志，且消耗意志永远小于或等于最少意志。只有当地狱魂石中恶魔意志大于等于最少意志时才能合成。,The drain amount will be subtracted from the stored will. The Demonic Will/Tartaric Gem will not be lost. Both minimum and drain will amounts can be seen in JEI when hovering over the arrow.
ftbquests.chapter.9blood_magic.quests.21.description.0,用于储存恶魔意志，以便在狱火熔炉合成其他物品。手持地狱魂石右键可将恶魔意志转移到其他地狱魂石。不同的地狱魂石能存储的原生意志不同：,"This demonic will can be gathered with the Rudimentary Snare or Sentient Sword and is automatically stored into the gem, when the player picks up a Demonic Will. The Petty Tartaric Gem is required for some recipes in the Hellfire Forge and can also be used as source for demonic will for the special attack of the Sentient Sword."
